 ,Area,Mean,Min,Max
1,443,255,255,255
2,300,255,255,255
3,290,255,255,255
4,424,255,255,255
5,310,255,255,255
6,361,255,255,255
7,466,255,255,255
8,306,255,255,255
9,414,255,255,255
10,273,255,255,255
11,296,255,255,255
12,296,255,255,255
13,273,255,255,255
14,377,255,255,255
15,330,255,255,255
16,293,255,255,255
17,411,255,255,255
18,343,255,255,255
19,393,255,255,255
20,107,255,255,255
21,289,255,255,255
22,421,255,255,255
23,292,255,255,255
24,329,255,255,255
25,285,255,255,255
26,322,255,255,255
27,349,255,255,255
28,388,255,255,255
29,307,255,255,255
30,395,255,255,255
31,300,255,255,255
32,268,255,255,255
33,381,255,255,255
34,480,255,255,255
35,340,255,255,255
36,320,255,255,255
37,314,255,255,255
38,343,255,255,255
39,298,255,255,255
40,363,255,255,255
41,298,255,255,255
42,267,255,255,255
43,300,255,255,255
44,376,255,255,255
45,488,255,255,255
46,355,255,255,255
47,290,255,255,255
48,384,255,255,255
49,358,255,255,255
50,404,255,255,255
51,277,255,255,255
52,274,255,255,255
53,433,255,255,255
54,303,255,255,255
55,303,255,255,255
56,303,255,255,255
57,344,255,255,255
58,347,255,255,255
59,484,255,255,255
60,196,255,255,255
61,352,255,255,255
62,211,255,255,255
63,154,255,255,255
64,487,255,255,255
65,306,255,255,255
66,351,255,255,255
67,295,255,255,255
68,253,255,255,255
69,354,255,255,255
70,486,255,255,255
71,294,255,255,255
72,253,255,255,255
73,333,255,255,255
74,350,255,255,255
75,265,255,255,255
76,227,255,255,255
77,325,255,255,255
78,259,255,255,255
79,278,255,255,255
80,469,255,255,255
81,285,255,255,255
82,308,255,255,255
83,347,255,255,255
84,377,255,255,255
85,234,255,255,255
86,356,255,255,255
87,351,255,255,255
88,332,255,255,255
89,341,255,255,255
90,220,255,255,255
91,293,255,255,255
92,299,255,255,255
93,461,255,255,255
94,346,255,255,255
95,493,255,255,255
96,314,255,255,255
97,311,255,255,255
98,354,255,255,255
99,291,255,255,255
100,356,255,255,255
101,315,255,255,255
102,219,255,255,255
103,296,255,255,255
104,278,255,255,255
105,275,255,255,255
106,354,255,255,255
107,196,255,255,255
108,376,255,255,255
109,324,255,255,255
110,228,255,255,255
111,375,255,255,255
112,356,255,255,255
113,421,255,255,255
114,293,255,255,255
115,397,255,255,255
116,454,255,255,255
117,335,255,255,255
118,321,255,255,255
119,403,255,255,255
120,236,255,255,255
121,235,255,255,255
122,282,255,255,255
123,342,255,255,255
124,304,255,255,255
125,424,255,255,255
126,325,255,255,255
127,325,255,255,255
128,427,255,255,255
129,385,255,255,255
130,307,255,255,255
131,346,255,255,255
132,278,255,255,255
133,288,255,255,255
134,427,255,255,255
135,346,255,255,255
136,376,255,255,255
137,318,255,255,255
138,250,255,255,255
139,477,255,255,255
140,357,255,255,255
141,275,255,255,255
142,271,255,255,255
143,126,255,255,255
144,241,255,255,255
145,380,255,255,255
146,145,255,255,255
147,308,255,255,255
148,269,255,255,255
149,436,255,255,255
150,340,255,255,255
151,314,255,255,255
152,328,255,255,255
153,326,255,255,255
154,277,255,255,255
155,267,255,255,255
156,334,255,255,255
157,356,255,255,255
158,321,255,255,255
159,302,255,255,255
160,420,255,255,255
161,259,255,255,255
162,406,255,255,255
163,386,255,255,255
164,316,255,255,255
165,337,255,255,255
166,372,255,255,255
167,402,255,255,255
168,421,255,255,255
169,472,255,255,255
170,256,255,255,255
171,203,255,255,255
172,441,255,255,255
173,377,255,255,255
174,335,255,255,255
175,277,255,255,255
176,432,255,255,255
177,300,255,255,255
178,337,255,255,255
179,240,255,255,255
180,316,255,255,255
181,323,255,255,255
182,374,255,255,255
183,300,255,255,255
184,329,255,255,255
185,292,255,255,255
186,316,255,255,255
187,472,255,255,255
188,65,255,255,255
189,294,255,255,255
190,176,255,255,255
191,214,255,255,255
192,385,255,255,255
193,308,255,255,255
194,249,255,255,255
195,354,255,255,255
196,389,255,255,255
197,191,255,255,255
198,301,255,255,255
199,260,255,255,255
200,403,255,255,255
201,318,255,255,255
202,375,255,255,255
203,331,255,255,255
204,174,255,255,255
205,280,255,255,255
206,297,255,255,255
207,433,255,255,255
208,347,255,255,255
209,216,255,255,255
210,258,255,255,255
211,358,255,255,255
212,391,255,255,255
213,273,255,255,255
214,374,255,255,255
215,381,255,255,255
216,318,255,255,255
217,462,255,255,255
218,400,255,255,255
219,409,255,255,255
220,192,255,255,255
221,193,255,255,255
222,301,255,255,255
223,338,255,255,255
224,381,255,255,255
225,337,255,255,255
226,360,255,255,255
227,244,255,255,255
228,140,255,255,255
229,428,255,255,255
230,387,255,255,255
231,441,255,255,255
232,288,255,255,255
233,318,255,255,255
234,410,255,255,255
235,357,255,255,255
236,303,255,255,255
237,306,255,255,255
238,171,255,255,255
239,268,255,255,255
240,237,255,255,255
241,488,255,255,255
242,253,255,255,255
243,260,255,255,255
244,403,255,255,255
245,337,255,255,255
246,287,255,255,255
247,376,255,255,255
248,238,255,255,255
249,268,255,255,255
250,429,255,255,255
251,329,255,255,255
252,365,255,255,255
253,277,255,255,255
254,222,255,255,255
255,460,255,255,255
256,240,255,255,255
257,447,255,255,255
258,277,255,255,255
259,476,255,255,255
260,353,255,255,255
261,259,255,255,255
262,392,255,255,255
263,347,255,255,255
264,348,255,255,255
265,325,255,255,255
266,280,255,255,255
267,479,255,255,255
268,321,255,255,255
269,235,255,255,255
270,245,255,255,255
271,181,255,255,255
272,228,255,255,255
273,428,255,255,255
274,159,255,255,255
275,410,255,255,255
276,214,255,255,255
277,288,255,255,255
278,259,255,255,255
279,361,255,255,255
280,397,255,255,255
281,277,255,255,255
282,378,255,255,255
283,338,255,255,255
284,278,255,255,255
285,392,255,255,255
286,450,255,255,255
287,450,255,255,255
288,387,255,255,255
289,276,255,255,255
290,336,255,255,255
291,223,255,255,255
292,263,255,255,255
293,470,255,255,255
294,218,255,255,255
295,274,255,255,255
296,283,255,255,255
297,445,255,255,255
298,386,255,255,255
299,429,255,255,255
300,438,255,255,255
301,222,255,255,255
302,478,255,255,255
303,319,255,255,255
304,412,255,255,255
305,349,255,255,255
306,386,255,255,255
307,458,255,255,255
